Up,-0.766217373,-0.217391304,1.68
Down,-0.765887109,-0.551127214,-39.97
Up,-0.304713848,-0.667900093,32.94
Up,-0.241071638,-0.667900093,31.77
Down,-0.05667289,-0.667900093,-33.29
Up,-0.059828717,-0.667900093,0.01
Up,-0.082644743,-1,0.01
Down,-0.094466341,-0.833333333,-0.02
Up,-0.098169676,-1,0.01
Down,-0.114473797,-1,-31.43
Down,-0.108981323,-0.970709382,-1.14
Up,-0.107666392,-0.955377574,1.14
Down,-0.103968012,-0.962860412,-0.01
Up,-0.100425548,-0.97480111,0.01
Down,-0.092706709,-0.975032286,-0.01
Up,-0.076118348,-0.85493311,0.01
Down,-0.055375425,-0.978349262,-14.7
Up,-0.046645602,-0.993736183,14.7
Down,-0.039955627,-0.993736183,-5.02
Up,-0.038482782,-0.993736183,0.01
Down,-0.028687414,-0.993736183,-9.68
Up,-0.021411663,-0.993736183,9.68
Down,-0.011373496,-0.996868091,-0.01
Up,-0.009903798,-1,0.01
Down,-0.003916205,-1,-0.03
Up,-0.001924389,-1,0.01
Up,0.001815623,-1,0.01
Up,0.003114802,-1,0.01
Down,0.010530921,-0.947826087,-0.01
Up,0.017291506,-1,0.01
Down,0.020392601,-1,-0.01
Up,0.022426471,-1,0.01
Down,0.019962931,-1,-0.01
Up,0.011465909,-0.508951407,0.01
Down,-0.585091194,1.776397516,-0.01
Up,-0.567971127,2.355072464,0.01
Up,-0.551591471,4.666666667,3.38
Up,-0.544920018,-0.631820496,1.61
Up,-0.540509693,-0.722382348,0.01
Up,-0.538367764,-0.699271332,0.01
Down,-0.535007884,-0.740661087,-0.01
Up,-0.526684608,-0.70379953,0.01
Down,-0.522578718,-0.671896011,-12.86
Down,-0.503643791,-0.671896011,-25.27
Up,-0.454516359,-0.671896011,10.66
Up,-0.414147019,-0.835948005,12.41
Down,-0.370244419,-1,-19.11
Down,-0.362991816,-1,-5.83
Down,-0.260897674,-0.601848892,-0.99
Down,-0.16199519,-0.458035714,-0.01
Up,-0.11023881,-0.99713467,0.01
Down,0.002214861,-0.736434109,-0.01
Up,0.06459369,-0.728208916,0.01
Down,0.096810204,-0.726688103,-0.01
Up,0.131424152,-0.545955882,0.01
Up,0.295349302,-0.451785714,0.99
Down,0.326740798,-0.856716418,-0.01
Up,0.373243257,-0.833657588,0.01
Down,0.452985302,-0.822779314,-0.01
Up,0.484459299,-0.721031983,0.01
Up,1.139501897,0.371835443,0.8
Up,1.219466649,0.382911392,14.53
Down,1.243746789,0.382911392,-15.34
Up,1.322577195,0.382911392,13.53
Up,1.465494829,0.382911392,0.04
Down,1.723347205,0.382911392,-2.63
Down,1.77430852,-1,-0.92
Down,1.781232217,-1,-4.99
Down,1.801448664,0.59544837,-12.02
Down,1.860194224,3.57982337,-2
Down,1.884196803,6.71563981,-1
Down,1.882903576,-0.069536424,-12
Up,1.886757707,-1,11.94
Down,1.907639009,-1,-15.53
