Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 100 Trials
Down,-0.453383707985066,1.5875,-0.0100000000002183,-0.00520722837829224
Up,-0.448559460936117,3.8375,0.0100000000002183,-0.00520245401517405
Down,-0.392787618464813,0.496551724137931,-0.0100000000002183,-0.00520722837827736
Down,-0.637384883724527,-0.751351351351351,-6.23999999999978,-0.00505903669106389
Down,-0.656519593103268,-1,-2.76000000000022,-0.00328455876426759
Up,-0.723851085387354,-0.991304347826087,0.0100000000002183,-0.00262845341212925
Down,-0.718332123048427,-0.704918032786885,-0.0100000000002183,-0.00262845027518965
Up,-0.706864819891159,0.243243243243243,0.0100000000002183,-0.0026284534121217
Down,-0.717903862083557,0.803921568627451,-0.0100000000002183,-0.0026284502751821
Up,-0.669016735697541,-0.434426229508197,0.0100000000002183,-0.00262845341211415
