Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,Total Profit $
Down,-0.301077595,0.145688992,-0.01,-0.006454827,0.034598345
Up,-0.354561695,0.17162086,0.01,-0.006351454,0.034598345
Down,-0.358573466,0.174521707,-0.01,-0.006066857,0.034598345
Up,-0.383048633,0.170457285,0.01,-0.002082735,0.034598345
Down,-0.384313458,0.174030919,-0.01,-0.002186214,0.034598345
Up,-0.446742867,-0.155026629,0.01,-0.00199611,0.034598345
Down,-0.445817775,-0.130721072,-0.01,-0.001996108,0.034598345
Up,-0.446030302,-0.120812789,0.01,-0.00199611,0.034598345
Down,-0.45802652,-0.254499674,-0.01,-0.001996108,0.034598345
Up,-0.462412217,-0.279734497,0.01,-0.001956816,0.034598345
Down,-0.469406985,-0.301024038,-0.01,-4.08E-11,0.034598345
Up,-0.476509313,-0.305022741,0.01,-4.08E-11,0.034598345
Down,-0.481875575,-0.292294098,-0.01,-3.93E-06,0.034598345
Up,-0.484683254,-0.295133202,0.01,3.93E-06,0.034598345
Down,-0.489780607,-0.314312228,-0.01,-3.93E-06,0.034598345
Up,-0.507781037,-0.30780737,0.01,3.93E-06,0.034598345
Down,-0.51004944,-0.3118534,-0.01,-4.30E-06,0.034598345
Up,-0.526379139,-0.348539981,0.01,3.93E-06,0.034598345
Down,-0.541399893,-0.434758443,-0.01,-4.08E-11,0.034598345
Up,-0.550329195,-0.459008287,0.01,4.30E-06,0.034598345
Down,-0.552492301,-0.461120255,-0.01,-4.30E-06,0.034598345
Up,-0.557617596,-0.46681766,0.01,4.30E-06,0.034598345
Down,-0.573343118,-0.47601815,-0.01,-4.30E-06,0.034598345
Up,-0.575818424,-0.477867667,0.01,4.30E-06,0.034598345
Down,-0.576440356,-0.480110799,-0.01,-4.08E-11,0.034598345
Up,-0.577081568,-0.482493998,0.01,-4.08E-11,0.034598345
Down,-0.570983433,-0.391718254,-0.01,-4.08E-11,0.034598345
Up,-0.570838932,-0.389016363,0.01,4.30E-06,0.034598345
Down,-0.570703241,-0.386314471,-0.01,-4.30E-06,0.034598345
Up,-0.56988415,-0.375239437,0.01,4.30E-06,0.034598345
Down,-0.578234704,-0.298829885,-0.01,-4.30E-06,0.034598345
Up,-0.582689344,-0.267397439,0.01,-4.08E-11,0.034598345
Down,-0.583362341,-0.203191891,-0.01,-4.08E-11,0.034598345
Up,-0.577216189,-0.130201188,0.01,-4.08E-11,0.034598345
Down,-0.558265748,0.106919826,-0.01,-4.08E-11,0.034598345
